report_date,stock_code,company_name,sector,offer_start_date,offer_end_date,listing_date,offer_price_range,entry_fee_hkd,margin_multiple,cornerstone_ratio,score,confidence,recommendation,enhanced_score,enhanced_confidence,enhanced_recommendation
2026-07-01,02523,永康控股有限公司,运输,2026-06-30,2026-07-08,2026-07-13,HK$2.2-HK$2.68,5414.05,,,0.0,0.13,放弃,7.2,0.3,放弃
2026-07-01,02249,合肥晶合集成电路股份有限公司,半导体,2026-06-30,2026-07-07,2026-07-10,HK$30-HK$32.3,3262.57,,49.92,16.1,0.3,放弃,19.5,0.39,放弃
2026-07-01,06745,滨化集团股份有限公司,化工,2026-06-30,2026-07-07,2026-07-10,HK$3.05-HK$3.59,3626.21,,33.41,0.0,0.09,放弃,15.4,0.35,放弃
2026-07-01,01377,广东鼎泰高科技股份有限公司,精密制造,2026-06-30,2026-07-06,2026-07-09,最高HK$380.00,38383.24,,39.8,6.2,0.17,放弃,20.1,0.39,放弃
2026-07-01,02475,立讯精密工业股份有限公司,消费电子,2026-06-30,2026-07-06,2026-07-09,最高HK$63.28,6391.82,,48.44,13.3,0.3,放弃,16.8,0.39,放弃
2026-07-01,02797,江西齐云山食品股份有限公司,消费,2026-06-30,2026-07-06,2026-07-09,HK$5-HK$8,4040.35,,,0.0,0.13,放弃,1.9,0.26,放弃
2026-07-01,03752,珞石（山东）机器人集团股份有限公司,机器人,2026-06-30,2026-07-06,2026-07-09,HK$38-HK$38,3838.32,,31.4,0.0,0.09,放弃,22.9,0.52,放弃
2026-07-01,00537,普源精电科技股份有限公司,电子仪器,2026-06-30,2026-07-06,2026-07-09,最高HK$45.98,4644.37,,42.1,0.0,0.13,放弃,17.0,0.35,放弃
2026-07-01,06951,潮州三环（集团）股份有限公司,电子元件,2026-06-30,2026-07-06,2026-07-09,最高HK$100.30,10131.16,,49.8,0.0,0.17,放弃,7.7,0.3,放弃
2026-07-01,01770,浙江东方科脉电子股份有限公司,电子纸,2026-06-29,2026-07-03,2026-07-08,HK$78.64-HK$101.11,5106.5,,,5.4,0.22,放弃,8.8,0.3,放弃
2026-07-01,06880,MOMENTA GLOBAL LIMITED - W,AI,2026-06-29,2026-07-03,2026-07-08,HK$295.6-HK$295.6,5971.62,,49.9,6.2,0.17,放弃,14.4,0.3,放弃
2026-07-01,07656,厦门瑞为信息技术股份有限公司,AI,2026-06-29,2026-07-03,2026-07-08,HK$21.66-HK$21.66,4375.69,,0.0,2.7,0.3,放弃,7.9,0.39,放弃
2026-07-01,07687,易控智驾科技股份有限公司,AI,2026-06-29,2026-07-03,2026-07-08,HK$81.16-HK$87.92,4440.34,,50.0,0.0,0.22,放弃,18.0,0.48,放弃
2026-07-01,08090,山东宝盖新材料科技股份有限公司,建筑材料,2026-06-29,2026-07-03,2026-07-08,HK$6.15-HK$8.51,4297.91,,,9.3,0.22,放弃,14.2,0.35,放弃
2026-07-01,09971,深圳基本半导体股份有限公司,半导体,2026-06-29,2026-07-03,2026-07-08,HK$27.49-HK$31.62,6387.78,,,0.0,0.13,放弃,0.0,0.22,放弃
2026-07-01,02667,北京同仁堂医养投资股份有限公司,医疗保健,2026-06-26,2026-07-02,2026-07-07,HK$5.48-HK$6.21,3136.31,,46.8,0.0,0.17,放弃,13.8,0.43,放弃
